                  Player POS Team  Age   GP    PTS  FG%  3P%   REB   AST
            Jayson Tatum  SF  BOS 25.0 74.0 2225.0 46.6 35.0 649.0 342.0
             Joel Embiid   C  PHI 29.0 66.0 2183.0 54.8 33.0 670.0 274.0
             Luka Doncic  PG  DAL 24.0 66.0 2138.0 49.6 34.2 569.0 529.0
 Shai Gilgeous-Alexander  PG  OKC 24.0 68.0 2135.0 51.0 34.5 329.0 371.0
   Giannis Antetokounmpo  PF  MIL 28.0 63.0 1959.0 55.3 27.5 742.0 359.0
         Anthony Edwards  SG  MIN 21.0 79.0 1946.0 45.9 36.9 458.0 350.0
           Julius Randle  PF  NYK 28.0 77.0 1936.0 45.9 34.3 767.0 316.0
        Donovan Mitchell  SG  CLE 26.0 68.0 1922.0 48.4 38.6 289.0 301.0
              Trae Young  PG  ATL 24.0 73.0 1914.0 42.9 33.5 217.0 741.0
             Zach LaVine  SG  CHI 28.0 77.0 1913.0 48.5 37.5 345.0 327.0
          Damian Lillard  PG  POR 32.0 58.0 1866.0 46.3 37.1 277.0 425.0
            De'Aaron Fox  PG  SAC 25.0 73.0 1826.0 51.2 32.4 306.0 447.0
           DeMar DeRozan  SF  CHI 33.0 74.0 1816.0 50.4 32.4 343.0 377.0
            Jaylen Brown  SG  BOS 26.0 67.0 1784.0 49.1 33.5 459.0 232.0
           Pascal Siakam  PF  TOR 29.0 71.0 1720.0 48.0 32.4 556.0 415.0
         Lauri Markkanen  PF  UTA 25.0 66.0 1691.0 49.9 39.2 570.0 123.0
            Nikola Jokic   C  DEN 28.0 69.0 1690.0 63.2 38.3 817.0 678.0
             Jalen Green  SG  HOU 21.0 76.0 1683.0 41.6 33.8 284.0 281.0
            Jordan Poole  SG  GSW 23.0 82.0 1675.0 43.0 33.6 225.0 369.0
           Mikal Bridges  SF  BKN 26.0 83.0 1671.0 46.8 38.2 364.0 273.0
           Stephen Curry  PG  GSW 35.0 56.0 1648.0 49.3 42.7 341.0 352.0
           Jalen Brunson  PG  NYK 26.0 68.0 1633.0 49.1 41.6 241.0 421.0
            Kyrie Irving  PG  DAL 31.0 60.0 1623.0 49.4 37.9 304.0 331.0
               Ja Morant  PG  MEM 23.0 61.0 1596.0 46.6 30.7 357.0 493.0
